artist_name, album_name,release_date,total_track
"1,2,3",Big Weather,2014-05-27,20
"1,2,3",New Heaven,2011-06-21,10
NLW,AFROJACK presents NLW,2022-07-29,7
AFROJACK,Press Play,2018-08-31,14
AFROJACK,Forget The World (Deluxe),2014-01-01,16
AFROJACK,Lost & Found,2010-12-21,9
Alemán,Haciéndolo Fino,2023-08-17,19
Alemán,Huracán,2021-11-18,21
Alemán,Humo en la Trampa 3,2021-04-20,15
Alemán,Humo en la Trampa 2 (Bonus Edition),2020-06-26,14
Alemán,Humo en la Trampa 2,2020-04-20,13
Alemán,Humo en la Trampa,2019-01-01,11
Alemán,Eclipse,2018-05-16,21
Alemán,Pase de Abordar (Deluxe),2016-03-31,13
Alemán,Rolemos Otro,2016-02-05,18
Alemán,Pase De Abordar,2014-09-17,10
Arcángel,Sr. Santos,2022-12-01,18
Arcángel,Los Favoritos 2.5,2021-09-17,15
Arcángel,Los Favoritos 2,2020-10-16,18
Arcángel,Historias de un Capricornio,2019-12-20,15
Arcángel,Ares,2018-07-13,18
Arcángel,Los Favoritos,2015-12-18,18
Arcángel,"Sentimiento, Elegancia Y Maldad",2013-11-19,18
Arcángel,"Arca Special Edition, Vol. 1",2010-01-01,11
Arcángel,El Fenomeno,2008-12-08,21
Fall Out Boy,So Much (For) Stardust,2023-03-24,14
Fall Out Boy,Believers Never Die (Volume Two),2019-11-15,13
Fall Out Boy,MANIA,2018-01-19,10
Fall Out Boy,Make America Psycho Again,2015-10-30,11
Fall Out Boy,American Beauty/American Psycho,2015-01-20,11
Fall Out Boy,Save Rock And Roll (Commentary),2013-04-12,11
Fall Out Boy,Save Rock And Roll,2013-04-12,11
Fall Out Boy,Folie à Deux,2008-01-01,13
Fall Out Boy,**** Live In Phoenix,2008-01-01,16
Fall Out Boy,Infinity On High,2007-01-01,19
Fall Out Boy,From Under The Cork Tree Limited Tour Edition,2006-01-01,18
Fall Out Boy,From Under The Cork Tree,2005-05-03,13
Fall Out Boy,Take This to Your Grave,2003-05-06,12
Fall Out Boy,Evening Out With Your Girlfriend,2003-03-25,9
Alec Benjamin,(Un)Commentary,2022-04-15,13
Alec Benjamin,These Two Windows,2020-05-29,10
Alec Benjamin,Narrated For You,2018-11-16,12
Nio Garcia,Now Or Never,2020-07-24,18
Arcángel,Los Favoritos,2015-12-18,18
"Wise ""the Gold Pen""",14F,2015-07-14,16
Davido,Timeless,2023-03-30,17
Davido,A Better Time,2020-11-12,17
Davido,A Good Time,2019-11-22,17
Davido,Omo Baba Olowo: The Genesis,2012-07-17,17
Bon Iver,"i,i",2019-08-09,13
Bon Iver,"22, A Million",2016-09-30,10
Bon Iver,Bon Iver,2011-06-20,10
Bon Iver,"For Emma, Forever Ago",2008-05-12,9
Jessie Murph,drowning,2023-02-10,11
Julión Álvarez y su Norteño Banda,"De Hoy En Adelante, Que Te Vaya Bien",2022-11-11,12
Julión Álvarez y su Norteño Banda,Ni Diablo Ni Santo,2017-05-26,13
Julión Álvarez y su Norteño Banda,"Mis Ídolos, Hoy Mis Amigos!!!",2016-04-08,20
Julión Álvarez y su Norteño Banda,El Aferrado,2015-03-23,13
Julión Álvarez y su Norteño Banda,Soy Lo Que Quiero... Indispensable,2014-01-28,13
Julión Álvarez y su Norteño Banda,Soy Lo Que Quiero... Indispensable (Edición Especial),2013-09-23,15
Julión Álvarez y su Norteño Banda,Tu Amigo Nada Más,2013-03-12,12
Julión Álvarez y su Norteño Banda,En Vivo,2012-08-14,17
Julión Álvarez y su Norteño Banda,Márchate Y Olvídame,2011-11-15,12
Julión Álvarez y su Norteño Banda,Vive Grupero El Concierto,2010-09-21,11
Julión Álvarez y su Norteño Banda,Ni Lo Intentes,2010-06-01,12
Julión Álvarez y su Norteño Banda,Con Banda,2009-04-21,12
Julión Álvarez y su Norteño Banda,"Desde Mazatlán ""A Mover El Cu....."" (En Vivo)",2008-01-24,14
Julión Álvarez y su Norteño Banda,Cumbia Del Río,2008-01-01,11
